,objective_description,objective_formulation,constraint_description,constraint_formulation,labels,description,problem_name
367,"""The goal is to determine how many trips each company should make to minimize the total amount of diesel used.""",$\min \left( \text{NewCompanyDieselUsage} \times \text{newCompanyTrips} + \text{OldCompanyDieselUsage} \times \text{oldCompanyTrips} \right)$,At least MinOldCompanyTripPercentage of all trips must be made by the old company,$oldCompanyTrips \\geq \\frac{MinOldCompanyTripPercentage \\times newCompanyTrips}{1 - MinOldCompanyTripPercentage}$,"{'types': ['Routing', 'Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Retail and E-commerce']}","A toy store decides to deliver gifts using two shipping companies: a new company and an old company. The new company can deliver NewCompanyGiftCapacity gifts per trip, while the old company can deliver OldCompanyGiftCapacity gifts per trip. The new company uses NewCompanyDieselUsage liters of diesel per trip, while the old company uses OldCompanyDieselUsage liters of diesel per trip. The toy store needs to deliver at least MinGiftsRequired gifts. The new company can make at most MaxNewCompanyTrips trips. To ensure the old company does not go out of business, at least MinOldCompanyTripPercentage of all trips must be made by the old company. The goal is to determine how many trips each company should make to minimize the total amount of diesel used.",151
368,"""The goal is to determine how many trips each company should make to minimize the total amount of diesel used.""",$\min \left( \text{NewCompanyDieselUsage} \times \text{newCompanyTrips} + \text{OldCompanyDieselUsage} \times \text{oldCompanyTrips} \right)$,The number of gifts delivered by the new company per trip times the number of trips by the new company plus the number of gifts delivered by the old company per trip times the number of trips by the old company must be at least MinGiftsRequired,$\\text{NewCompanyGiftCapacity} \\times \\text{newCompanyTrips} + \\text{OldCompanyGiftCapacity} \\times \\text{oldCompanyTrips} \\geq \\text{MinGiftsRequired}$,"{'types': ['Routing', 'Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Retail and E-commerce']}","A toy store decides to deliver gifts using two shipping companies: a new company and an old company. The new company can deliver NewCompanyGiftCapacity gifts per trip, while the old company can deliver OldCompanyGiftCapacity gifts per trip. The new company uses NewCompanyDieselUsage liters of diesel per trip, while the old company uses OldCompanyDieselUsage liters of diesel per trip. The toy store needs to deliver at least MinGiftsRequired gifts. The new company can make at most MaxNewCompanyTrips trips. To ensure the old company does not go out of business, at least MinOldCompanyTripPercentage of all trips must be made by the old company. The goal is to determine how many trips each company should make to minimize the total amount of diesel used.",151
369,"""The goal is to determine how many trips each company should make to minimize the total amount of diesel used.""",$\min \left( \text{NewCompanyDieselUsage} \times \text{newCompanyTrips} + \text{OldCompanyDieselUsage} \times \text{oldCompanyTrips} \right)$,The percentage of trips made by the old company must be at least MinOldCompanyTripPercentage times the total number of trips,$\text{oldCompanyTrips} \geq \frac{\text{MinOldCompanyTripPercentage} \times \text{newCompanyTrips}}{1 - \text{MinOldCompanyTripPercentage}}$,"{'types': ['Routing', 'Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Retail and E-commerce']}","A toy store decides to deliver gifts using two shipping companies: a new company and an old company. The new company can deliver NewCompanyGiftCapacity gifts per trip, while the old company can deliver OldCompanyGiftCapacity gifts per trip. The new company uses NewCompanyDieselUsage liters of diesel per trip, while the old company uses OldCompanyDieselUsage liters of diesel per trip. The toy store needs to deliver at least MinGiftsRequired gifts. The new company can make at most MaxNewCompanyTrips trips. To ensure the old company does not go out of business, at least MinOldCompanyTripPercentage of all trips must be made by the old company. The goal is to determine how many trips each company should make to minimize the total amount of diesel used.",151
370,"""The goal is to minimize the total time required to transport the monkeys""",$\min (\text{TimePerBusTrip} \times \text{busTrips} + \text{TimePerCarTrip} \times \text{carTrips})$,The total number of monkeys transported by bus and car should equal TotalMonkeys,$busTrips \times MonkeysPerBusTrip + carTrips \times MonkeysPerCarTrip = TotalMonkeys$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Healthcare and Medical']}","A zoo needs to transport TotalMonkeys to the vet either by bus or by car. A bus can transport MonkeysPerBusTrip per trip and takes TimePerBusTrip. A car can transport MonkeysPerCarTrip per trip and takes TimePerCarTrip. There can be at most MaxBusTrips. In addition, since the monkeys get aggressive when there are too many in one place, at least MinCarTripPercentage of the trips should be by car. If the zoo needs to transport TotalMonkeys, how many trips of each should be done to minimize the total time required to transport the monkeys?",152
371,"""The goal is to minimize the total time required to transport the monkeys""",$\min (\text{TimePerBusTrip} \times \text{busTrips} + \text{TimePerCarTrip} \times \text{carTrips})$,The number of bus trips should be no more than MaxBusTrips,$busTrips \leq MaxBusTrips$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Healthcare and Medical']}","A zoo needs to transport TotalMonkeys to the vet either by bus or by car. A bus can transport MonkeysPerBusTrip per trip and takes TimePerBusTrip. A car can transport MonkeysPerCarTrip per trip and takes TimePerCarTrip. There can be at most MaxBusTrips. In addition, since the monkeys get aggressive when there are too many in one place, at least MinCarTripPercentage of the trips should be by car. If the zoo needs to transport TotalMonkeys, how many trips of each should be done to minimize the total time required to transport the monkeys?",152
372,"""The goal is to minimize the total time required to transport the monkeys""",$\min (\text{TimePerBusTrip} \times \text{busTrips} + \text{TimePerCarTrip} \times \text{carTrips})$,At least MinCarTripPercentage percent of the trips should be by car,$\text{carTrips} \geq \frac{\text{MinCarTripPercentage}}{1 - \text{MinCarTripPercentage}} \times \text{busTrips}$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Healthcare and Medical']}","A zoo needs to transport TotalMonkeys to the vet either by bus or by car. A bus can transport MonkeysPerBusTrip per trip and takes TimePerBusTrip. A car can transport MonkeysPerCarTrip per trip and takes TimePerCarTrip. There can be at most MaxBusTrips. In addition, since the monkeys get aggressive when there are too many in one place, at least MinCarTripPercentage of the trips should be by car. If the zoo needs to transport TotalMonkeys, how many trips of each should be done to minimize the total time required to transport the monkeys?",152
373,"""The goal is to minimize the total time required to transport the monkeys""",$\min (\text{TimePerBusTrip} \times \text{busTrips} + \text{TimePerCarTrip} \times \text{carTrips})$,The number of monkeys transported by bus per trip multiplied by the number of bus trips plus the number of monkeys transported by car per trip multiplied by the number of car trips should equal TotalMonkeys,$\\text{MonkeysPerBusTrip} \\times \\text{busTrips} + \\text{MonkeysPerCarTrip} \\times \\text{carTrips} = \\text{TotalMonkeys}$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Healthcare and Medical']}","A zoo needs to transport TotalMonkeys to the vet either by bus or by car. A bus can transport MonkeysPerBusTrip per trip and takes TimePerBusTrip. A car can transport MonkeysPerCarTrip per trip and takes TimePerCarTrip. There can be at most MaxBusTrips. In addition, since the monkeys get aggressive when there are too many in one place, at least MinCarTripPercentage of the trips should be by car. If the zoo needs to transport TotalMonkeys, how many trips of each should be done to minimize the total time required to transport the monkeys?",152
374,"""The goal is to minimize the total amount of pollution produced while transporting NumCows.""",$\min (\text{HelicopterPollution} \times \text{helicopterTrips} + \text{TruckPollution} \times \text{truckTrips})$,The total number of cows transported by helicopters and trucks must equal NumCows,$helicopterTrips \cdot HelicopterCapacity + truckTrips \cdot TruckCapacity = NumCows$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Agriculture and Forestry', 'Environmental and Sustainability']}",A farmer decides to move NumCows to a nearby farm using helicopters and trucks. A helicopter can take HelicopterCapacity cows per trip and creates HelicopterPollution units of pollution. A truck can take TruckCapacity cows per trip and creates TruckPollution units of pollution. The farmer only has enough money for at most MaxTruckTrips truck trips. The objective is to minimize the total amount of pollution produced while transporting NumCows.,153
375,"""The goal is to minimize the total amount of pollution produced while transporting NumCows.""",$\min (\text{HelicopterPollution} \times \text{helicopterTrips} + \text{TruckPollution} \times \text{truckTrips})$,The total number of truck trips must not exceed MaxTruckTrips,$truckTrips \leq MaxTruckTrips$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Agriculture and Forestry', 'Environmental and Sustainability']}",A farmer decides to move NumCows to a nearby farm using helicopters and trucks. A helicopter can take HelicopterCapacity cows per trip and creates HelicopterPollution units of pollution. A truck can take TruckCapacity cows per trip and creates TruckPollution units of pollution. The farmer only has enough money for at most MaxTruckTrips truck trips. The objective is to minimize the total amount of pollution produced while transporting NumCows.,153
376,"""The goal is to maximize the number of meals that can be delivered""",$\max \left( \text{bikes} \times \text{MealsPerBike} + \text{scooters} \times \text{MealsPerScooter} \right)$,The charge required by the total number of bikes and scooters used should not exceed the TotalCharge available,$ChargePerBike \cdot bikes + ChargePerScooter \cdot scooters \leq TotalCharge$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Supply Chain Management', 'Food and Beverage']}","A meal service company delivers meals to customers either on electric bikes or scooters. A bike can hold MealsPerBike meals and requires ChargePerBike units of charge. A scooter can hold MealsPerScooter meals and requires ChargePerScooter units of charge. Since the city is more friendly towards scooters, at most MaxPercentageBikes percentage of the electric vehicles can be bikes and at least MinScooters scooters must be used. If the company only has TotalCharge units of charge available, how many of each vehicle should be used to maximize the number of meals that can be delivered?",155
377,"""The goal is to maximize the number of meals that can be delivered""",$\max \left( \text{bikes} \times \text{MealsPerBike} + \text{scooters} \times \text{MealsPerScooter} \right)$,The number of bikes used should not exceed MaxPercentageBikes percentage of the total number of vehicles used,$bikes \\leq \\frac{MaxPercentageBikes}{100} \\times (bikes + scooters)$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Supply Chain Management', 'Food and Beverage']}","A meal service company delivers meals to customers either on electric bikes or scooters. A bike can hold MealsPerBike meals and requires ChargePerBike units of charge. A scooter can hold MealsPerScooter meals and requires ChargePerScooter units of charge. Since the city is more friendly towards scooters, at most MaxPercentageBikes percentage of the electric vehicles can be bikes and at least MinScooters scooters must be used. If the company only has TotalCharge units of charge available, how many of each vehicle should be used to maximize the number of meals that can be delivered?",155
378,"""The goal is to maximize the number of meals that can be delivered""",$\max \left( \text{bikes} \times \text{MealsPerBike} + \text{scooters} \times \text{MealsPerScooter} \right)$,At least MinScooters scooters must be used,$\text{scooters} \geq \text{MinScooters}$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Supply Chain Management', 'Food and Beverage']}","A meal service company delivers meals to customers either on electric bikes or scooters. A bike can hold MealsPerBike meals and requires ChargePerBike units of charge. A scooter can hold MealsPerScooter meals and requires ChargePerScooter units of charge. Since the city is more friendly towards scooters, at most MaxPercentageBikes percentage of the electric vehicles can be bikes and at least MinScooters scooters must be used. If the company only has TotalCharge units of charge available, how many of each vehicle should be used to maximize the number of meals that can be delivered?",155
379,"""The goal is to maximize the number of meals that can be delivered""",$\max \left( \text{bikes} \times \text{MealsPerBike} + \text{scooters} \times \text{MealsPerScooter} \right)$,auxiliary constraint,$scooters \geq MinScooters$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Supply Chain Management', 'Food and Beverage']}","A meal service company delivers meals to customers either on electric bikes or scooters. A bike can hold MealsPerBike meals and requires ChargePerBike units of charge. A scooter can hold MealsPerScooter meals and requires ChargePerScooter units of charge. Since the city is more friendly towards scooters, at most MaxPercentageBikes percentage of the electric vehicles can be bikes and at least MinScooters scooters must be used. If the company only has TotalCharge units of charge available, how many of each vehicle should be used to maximize the number of meals that can be delivered?",155
380,"""The goal is to minimize the total number of planes used while delivering at least TotalCars cars and ensuring the number of large planes is less than the number of small planes.""",$\min (\text{largePlanes} + \text{smallPlanes})$,The number of large planes must be less than the number of small planes,$largePlanes < smallPlanes$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Manufacturing and Production']}","A car manufacturer ships their cars on large and small planes. A large plane can carry CarsPerLargePlane cars while a small plane can carry CarsPerSmallPlane cars. To reduce pollution, the number of large planes must be less than the number of small planes. The manufacturer wants to deliver at least TotalCars cars while minimizing the total number of planes used.",156
381,"""The goal is to minimize the total number of planes used while delivering at least TotalCars cars and ensuring the number of large planes is less than the number of small planes.""",$\min (\text{largePlanes} + \text{smallPlanes})$,The total number of cars delivered by large and small planes must be at least TotalCars,$CarsPerLargePlane \times largePlanes + CarsPerSmallPlane \times smallPlanes \geq TotalCars$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Manufacturing and Production']}","A car manufacturer ships their cars on large and small planes. A large plane can carry CarsPerLargePlane cars while a small plane can carry CarsPerSmallPlane cars. To reduce pollution, the number of large planes must be less than the number of small planes. The manufacturer wants to deliver at least TotalCars cars while minimizing the total number of planes used.",156
382,"""The goal is to minimize the total number of planes used while delivering at least TotalCars cars and ensuring the number of large planes is less than the number of small planes.""",$\min (\text{largePlanes} + \text{smallPlanes})$,The total number of planes used should be minimized,$\\text{Minimize } largePlanes + smallPlanes$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Manufacturing and Production']}","A car manufacturer ships their cars on large and small planes. A large plane can carry CarsPerLargePlane cars while a small plane can carry CarsPerSmallPlane cars. To reduce pollution, the number of large planes must be less than the number of small planes. The manufacturer wants to deliver at least TotalCars cars while minimizing the total number of planes used.",156
383,The goal is to minimize the total number of wagons needed to transport the specified amount of ore.,$\min \text{largeWagons} + \text{smallWagons}$,Number of small wagons must be at least MinRatioSmallToLarge times the number of large wagons,$x \geq \text{MinRatioSmallToLarge} \cdot y$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Sizing'], 'domains': ['Manufacturing and Production', 'Transportation & Logistics']}","A mine sends ore to the surface in small and large wagons. A small wagon holds SmallWagonCapacity units of ore while a large wagon holds LargeWagonCapacity units of ore. To avoid taking up too much space on the ramps, the number of small wagons must be at least MinRatioSmallToLarge times the number of large wagons. In addition, at least MinLargeWagons large wagons must be used. If TotalOre units of ore need to be taken to the surface, minimize the total number of wagons needed.",157
384,The goal is to minimize the total number of wagons needed to transport the specified amount of ore.,$\min \text{largeWagons} + \text{smallWagons}$,At least MinLargeWagons large wagons must be used,$largeWagons \\geq MinLargeWagons$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Sizing'], 'domains': ['Manufacturing and Production', 'Transportation & Logistics']}","A mine sends ore to the surface in small and large wagons. A small wagon holds SmallWagonCapacity units of ore while a large wagon holds LargeWagonCapacity units of ore. To avoid taking up too much space on the ramps, the number of small wagons must be at least MinRatioSmallToLarge times the number of large wagons. In addition, at least MinLargeWagons large wagons must be used. If TotalOre units of ore need to be taken to the surface, minimize the total number of wagons needed.",157
385,The goal is to minimize the total number of wagons needed to transport the specified amount of ore.,$\min \text{largeWagons} + \text{smallWagons}$,Total ore transported by small and large wagons combined must be at least TotalOre units,$SmallWagonCapacity \\cdot smallWagons + LargeWagonCapacity \\cdot largeWagons \\geq TotalOre$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Sizing'], 'domains': ['Manufacturing and Production', 'Transportation & Logistics']}","A mine sends ore to the surface in small and large wagons. A small wagon holds SmallWagonCapacity units of ore while a large wagon holds LargeWagonCapacity units of ore. To avoid taking up too much space on the ramps, the number of small wagons must be at least MinRatioSmallToLarge times the number of large wagons. In addition, at least MinLargeWagons large wagons must be used. If TotalOre units of ore need to be taken to the surface, minimize the total number of wagons needed.",157
386,"""The goal is to minimize the total number of scooters used to transport the visitors""",$\min \text{scooters}$,The total number of visitors transported by scooters and rickshaws must be at least MinVisitors,$scooters \\times ScooterCapacity + rickshaws \\times RickshawCapacity \\geq MinVisitors$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Sports and Entertainment']}","A theme park transports its visitors around the park either by scooter or rickshaw. A scooter can carry ScooterCapacity people while a rickshaw can carry RickshawCapacity people. To avoid excessive pollution, at most MaxRickshawProportion of the vehicles used can be rickshaws. If the park needs to transport at least MinVisitors visitors, minimize the total number of scooters used.",158
387,"""The goal is to minimize the total number of scooters used to transport the visitors""",$\min \text{scooters}$,The proportion of rickshaws used compared to the total number of vehicles must not exceed MaxRickshawProportion,$rickshaws \leq \\frac{MaxRickshawProportion}{1 - MaxRickshawProportion} \\times scooters$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Sports and Entertainment']}","A theme park transports its visitors around the park either by scooter or rickshaw. A scooter can carry ScooterCapacity people while a rickshaw can carry RickshawCapacity people. To avoid excessive pollution, at most MaxRickshawProportion of the vehicles used can be rickshaws. If the park needs to transport at least MinVisitors visitors, minimize the total number of scooters used.",158
388,"""The goal is to minimize the total number of animals used for delivering the packages""",$\min (\text{camels} + \text{horses})$,The number of packages delivered by camels and horses together must be at least MinPackages,$PackagesPerCamel \cdot camels + PackagesPerHorse \cdot horses \geq MinPackages$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Supply Chain Management']}","A company delivers their packages using two types of animals. One type of animal can carry PackagesPerCamel packages and requires FoodPerCamel units of food. The other type of animal can carry PackagesPerHorse packages and requires FoodPerHorse units of food. The company needs to deliver at least MinPackages packages and has TotalFood units of food available. Additionally, the number of the second type of animal cannot exceed the number of the first type of animal. The goal is to determine how many of each animal to use in order to minimize the total number of animals.",159
389,"""The goal is to minimize the total number of animals used for delivering the packages""",$\min (\text{camels} + \text{horses})$,The total food required by the camels and horses together must not exceed TotalFood,$FoodPerCamel \times camels + FoodPerHorse \times horses \leq TotalFood$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Supply Chain Management']}","A company delivers their packages using two types of animals. One type of animal can carry PackagesPerCamel packages and requires FoodPerCamel units of food. The other type of animal can carry PackagesPerHorse packages and requires FoodPerHorse units of food. The company needs to deliver at least MinPackages packages and has TotalFood units of food available. Additionally, the number of the second type of animal cannot exceed the number of the first type of animal. The goal is to determine how many of each animal to use in order to minimize the total number of animals.",159
390,"""The goal is to minimize the total number of animals used for delivering the packages""",$\min (\text{camels} + \text{horses})$,The number of horses used must not exceed the number of camels used,$horses \leq camels$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Supply Chain Management']}","A company delivers their packages using two types of animals. One type of animal can carry PackagesPerCamel packages and requires FoodPerCamel units of food. The other type of animal can carry PackagesPerHorse packages and requires FoodPerHorse units of food. The company needs to deliver at least MinPackages packages and has TotalFood units of food available. Additionally, the number of the second type of animal cannot exceed the number of the first type of animal. The goal is to determine how many of each animal to use in order to minimize the total number of animals.",159
391,"""The goal is to minimize the total amount of gas consumed by the mail delivery service""",$\min (\text{GasUsageRegular} \times \text{regularTrips}) + (\text{GasUsageSpeed} \times \text{speedTrips})$,Total number of trips by regular and speed boats must be sufficient to deliver TotalMail pieces of mail,$MailCapacityRegular \\times regularTrips + MailCapacitySpeed \\times speedTrips \\geq TotalMail$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Supply Chain Management']}","A mail delivery service in an island village delivers mail by regular and speed boats. A regular boat can carry MailCapacityRegular pieces of mail per trip and uses GasUsageRegular liters of gas. A speed boat can carry MailCapacitySpeed pieces of mail per trip and uses GasUsageSpeed liters of gas. There can be at most MaxRegularTrips regular boat trips. Since customers want their mail as fast as possible, at least MinSpeedBoatTripPercentage percent of the trips must be made by speed boats. If the service needs to deliver TotalMail pieces of mail, how many trips of each should be made to minimize the total amount of gas consumed?",161
392,"""The goal is to minimize the total amount of gas consumed by the mail delivery service""",$\min (\text{GasUsageRegular} \times \text{regularTrips}) + (\text{GasUsageSpeed} \times \text{speedTrips})$,Total number of regular boat trips must not exceed MaxRegularTrips,$regularTrips \\leq MaxRegularTrips$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Supply Chain Management']}","A mail delivery service in an island village delivers mail by regular and speed boats. A regular boat can carry MailCapacityRegular pieces of mail per trip and uses GasUsageRegular liters of gas. A speed boat can carry MailCapacitySpeed pieces of mail per trip and uses GasUsageSpeed liters of gas. There can be at most MaxRegularTrips regular boat trips. Since customers want their mail as fast as possible, at least MinSpeedBoatTripPercentage percent of the trips must be made by speed boats. If the service needs to deliver TotalMail pieces of mail, how many trips of each should be made to minimize the total amount of gas consumed?",161
393,"""The goal is to minimize the total amount of gas consumed by the mail delivery service""",$\min (\text{GasUsageRegular} \times \text{regularTrips}) + (\text{GasUsageSpeed} \times \text{speedTrips})$,At least MinSpeedBoatTripPercentage percent of the total trips must be made by speed boats,$speedTrips \geq \\frac{MinSpeedBoatTripPercentage}{100} \times (regularTrips + speedTrips)$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Supply Chain Management']}","A mail delivery service in an island village delivers mail by regular and speed boats. A regular boat can carry MailCapacityRegular pieces of mail per trip and uses GasUsageRegular liters of gas. A speed boat can carry MailCapacitySpeed pieces of mail per trip and uses GasUsageSpeed liters of gas. There can be at most MaxRegularTrips regular boat trips. Since customers want their mail as fast as possible, at least MinSpeedBoatTripPercentage percent of the trips must be made by speed boats. If the service needs to deliver TotalMail pieces of mail, how many trips of each should be made to minimize the total amount of gas consumed?",161
394,"""The goal is to minimize the total amount of gas consumed by the mail delivery service""",$\min (\text{GasUsageRegular} \times \text{regularTrips}) + (\text{GasUsageSpeed} \times \text{speedTrips})$,Pieces of mail delivered by regular boats plus pieces of mail delivered by speed boats must equal TotalMail,$MailCapacityRegular \\times regularTrips + MailCapacitySpeed \\times speedTrips = TotalMail$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics', 'Supply Chain Management']}","A mail delivery service in an island village delivers mail by regular and speed boats. A regular boat can carry MailCapacityRegular pieces of mail per trip and uses GasUsageRegular liters of gas. A speed boat can carry MailCapacitySpeed pieces of mail per trip and uses GasUsageSpeed liters of gas. There can be at most MaxRegularTrips regular boat trips. Since customers want their mail as fast as possible, at least MinSpeedBoatTripPercentage percent of the trips must be made by speed boats. If the service needs to deliver TotalMail pieces of mail, how many trips of each should be made to minimize the total amount of gas consumed?",161
395,"""The goal is to minimize the total transportation time for transporting the chickens""",$\min (busTrips \times BusTimePerTrip + carTrips \times CarTimePerTrip)$,The total number of chicken transported by buses and cars must equal TotalChicken,$busTrips \\cdot BusCapacity + carTrips \\cdot CarCapacity = TotalChicken$,"{'types': ['Resource Allocation and Management', 'Scheduling', 'Routing'], 'domains': ['Transportation & Logistics', 'Agriculture and Forestry']}",A chicken farmer needs to transport TotalChicken using either buses or cars. A bus can carry BusCapacity and takes BusTimePerTrip hours per trip. A car can carry CarCapacity and takes CarTimePerTrip hours per trip. There can be at most MaxBusTrips and at least MinCarTripPercentage of the trips must be by car. The farmer needs to determine the number of trips by car and bus to minimize the total transportation time.,162
396,"""The goal is to minimize the total transportation time for transporting the chickens""",$\min (busTrips \times BusTimePerTrip + carTrips \times CarTimePerTrip)$,The number of trips by bus times BusCapacity plus the number of trips by car times CarCapacity must equal TotalChicken,$busTrips \\times BusCapacity + carTrips \\times CarCapacity = TotalChicken$,"{'types': ['Resource Allocation and Management', 'Scheduling', 'Routing'], 'domains': ['Transportation & Logistics', 'Agriculture and Forestry']}",A chicken farmer needs to transport TotalChicken using either buses or cars. A bus can carry BusCapacity and takes BusTimePerTrip hours per trip. A car can carry CarCapacity and takes CarTimePerTrip hours per trip. There can be at most MaxBusTrips and at least MinCarTripPercentage of the trips must be by car. The farmer needs to determine the number of trips by car and bus to minimize the total transportation time.,162
397,"""The goal is to minimize the total transportation time for transporting the chickens""",$\min (busTrips \times BusTimePerTrip + carTrips \times CarTimePerTrip)$,The total number of trips by bus must not exceed MaxBusTrips,$\\text{busTrips} \\leq \\text{MaxBusTrips}$,"{'types': ['Resource Allocation and Management', 'Scheduling', 'Routing'], 'domains': ['Transportation & Logistics', 'Agriculture and Forestry']}",A chicken farmer needs to transport TotalChicken using either buses or cars. A bus can carry BusCapacity and takes BusTimePerTrip hours per trip. A car can carry CarCapacity and takes CarTimePerTrip hours per trip. There can be at most MaxBusTrips and at least MinCarTripPercentage of the trips must be by car. The farmer needs to determine the number of trips by car and bus to minimize the total transportation time.,162
398,"""The goal is to minimize the total transportation time for transporting the chickens""",$\min (busTrips \times BusTimePerTrip + carTrips \times CarTimePerTrip)$,The number of trips by car must be at least MinCarTripPercentage of the total number of trips,$carTrips \\geq \\frac{MinCarTripPercentage \\times busTrips}{1 - MinCarTripPercentage}$,"{'types': ['Resource Allocation and Management', 'Scheduling', 'Routing'], 'domains': ['Transportation & Logistics', 'Agriculture and Forestry']}",A chicken farmer needs to transport TotalChicken using either buses or cars. A bus can carry BusCapacity and takes BusTimePerTrip hours per trip. A car can carry CarCapacity and takes CarTimePerTrip hours per trip. There can be at most MaxBusTrips and at least MinCarTripPercentage of the trips must be by car. The farmer needs to determine the number of trips by car and bus to minimize the total transportation time.,162
399,"""The goal is to minimize the total transportation time for transporting the chickens""",$\min (busTrips \times BusTimePerTrip + carTrips \times CarTimePerTrip)$,The total transportation time is the sum of (number of trips by bus times BusTimePerTrip) and (number of trips by car times CarTimePerTrip) and must be minimized,$\\text{Minimize}: \\quad \\text{busTrips} \\times \\text{BusTimePerTrip} + \\text{carTrips} \\times \\text{CarTimePerTrip}$,"{'types': ['Resource Allocation and Management', 'Scheduling', 'Routing'], 'domains': ['Transportation & Logistics', 'Agriculture and Forestry']}",A chicken farmer needs to transport TotalChicken using either buses or cars. A bus can carry BusCapacity and takes BusTimePerTrip hours per trip. A car can carry CarCapacity and takes CarTimePerTrip hours per trip. There can be at most MaxBusTrips and at least MinCarTripPercentage of the trips must be by car. The farmer needs to determine the number of trips by car and bus to minimize the total transportation time.,162
400,"""The goal is to minimize the total pollution produced by the vans and minibuses used to transport the children.""",$\min ( \text{VanPollution} \times \text{numVans} ) + ( \text{MinibusPollution} \times \text{numMinibuses} )$,The total number of children transported by vans and minibuses must be at least NumChildren,$\\text{numVans} \\times \\text{VanCapacity} + \\text{numMinibuses} \\times \\text{MinibusCapacity} \\geq \\text{NumChildren}$,"{'types': ['Resource Allocation and Management', 'Balancing'], 'domains': ['Transportation & Logistics', 'Education', 'Environmental and Sustainability']}","Children can go to school either by van or by minibus. A van can take VanCapacity kids and produces VanPollution units of pollution. A minibus can take MinibusCapacity kids and produces MinibusPollution units of pollution. There are at least NumChildren kids that need to go to school and at most MaxMinibuses minibuses can be used. In addition, the number of vans used must exceed the number of minibuses.",163
401,"""The goal is to minimize the total pollution produced by the vans and minibuses used to transport the children.""",$\min ( \text{VanPollution} \times \text{numVans} ) + ( \text{MinibusPollution} \times \text{numMinibuses} )$,The number of minibuses used must not exceed MaxMinibuses,$\\text{numMinibuses} \\leq \\text{MaxMinibuses}$,"{'types': ['Resource Allocation and Management', 'Balancing'], 'domains': ['Transportation & Logistics', 'Education', 'Environmental and Sustainability']}","Children can go to school either by van or by minibus. A van can take VanCapacity kids and produces VanPollution units of pollution. A minibus can take MinibusCapacity kids and produces MinibusPollution units of pollution. There are at least NumChildren kids that need to go to school and at most MaxMinibuses minibuses can be used. In addition, the number of vans used must exceed the number of minibuses.",163
402,"""The goal is to minimize the total pollution produced by the vans and minibuses used to transport the children.""",$\min ( \text{VanPollution} \times \text{numVans} ) + ( \text{MinibusPollution} \times \text{numMinibuses} )$,The number of vans used must exceed the number of minibuses,$\\text{numVans} > \\text{numMinibuses}$,"{'types': ['Resource Allocation and Management', 'Balancing'], 'domains': ['Transportation & Logistics', 'Education', 'Environmental and Sustainability']}","Children can go to school either by van or by minibus. A van can take VanCapacity kids and produces VanPollution units of pollution. A minibus can take MinibusCapacity kids and produces MinibusPollution units of pollution. There are at least NumChildren kids that need to go to school and at most MaxMinibuses minibuses can be used. In addition, the number of vans used must exceed the number of minibuses.",163
